epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1491,1.44466,2.91239,1.62836,0.51813,0.74774,0.67141,0.53285,0.70634,1.38368,1.11026,0.000255261,0.000255261,0.000255261
2,86.7917,0.9062,1.37157,1.23926,0.74972,0.78494,0.8844,0.72459,0.65774,0.98205,0.96188,0.000506529,0.000506529,0.000506529
3,117.275,0.8409,1.18216,1.18103,0.83571,0.93644,0.94712,0.80846,0.60495,0.70556,0.94448,0.000752723,0.000752723,0.000752723
4,148.337,0.81888,1.06398,1.15775,0.89821,0.91576,0.96171,0.81855,0.58163,0.65072,0.93207,0.000746161,0.000746161,0.000746161
5,178.573,0.7763,0.98536,1.12363,0.85881,0.89851,0.94234,0.82711,0.54123,0.67359,0.90021,0.000738548,0.000738548,0.000738548
6,210.013,0.75622,0.95507,1.1152,0.92697,0.94923,0.97571,0.85965,0.54962,0.53725,0.8816,0.000730935,0.000730935,0.000730935
7,240.24,0.73669,0.89715,1.1043,0.87535,0.94714,0.96324,0.84756,0.53433,0.61017,0.88641,0.000723321,0.000723321,0.000723321
8,271.194,0.72857,0.86331,1.09523,0.91283,0.92842,0.97133,0.84935,0.52994,0.54977,0.88928,0.000715708,0.000715708,0.000715708
9,301.582,0.71429,0.82806,1.08674,0.88013,0.89104,0.96434,0.85035,0.55579,0.6022,0.92071,0.000708095,0.000708095,0.000708095
10,331.807,0.69987,0.80215,1.07971,0.96052,0.93411,0.97342,0.86657,0.52472,0.50112,0.90769,0.000700482,0.000700482,0.000700482
11,362.98,0.69578,0.82332,1.07833,0.94669,0.93662,0.97252,0.86689,0.5133,0.50068,0.88401,0.000692869,0.000692869,0.000692869
12,393.354,0.69565,0.79123,1.07639,0.89899,0.96216,0.97611,0.85907,0.5396,0.51618,0.89797,0.000685256,0.000685256,0.000685256
13,424.736,0.6765,0.76312,1.06973,0.95343,0.94009,0.98272,0.86162,0.53291,0.47297,0.89563,0.000677643,0.000677643,0.000677643
14,455.113,0.67448,0.74164,1.06667,0.9129,0.93245,0.97978,0.86343,0.50306,0.49193,0.87444,0.00067003,0.00067003,0.00067003
15,485.994,0.66096,0.71538,1.06064,0.94272,0.95104,0.97287,0.86584,0.503,0.46062,0.87295,0.000662417,0.000662417,0.000662417
16,516.924,0.66048,0.74016,1.06097,0.93363,0.94009,0.97897,0.86494,0.50323,0.45306,0.85641,0.000654804,0.000654804,0.000654804
17,547.363,0.651,0.713,1.05287,0.95324,0.94149,0.97961,0.87061,0.49996,0.43568,0.89095,0.00064719,0.00064719,0.00064719
18,578.959,0.6559,0.70238,1.05804,0.94335,0.9422,0.97874,0.86972,0.5105,0.46464,0.91762,0.000639577,0.000639577,0.000639577
19,609.202,0.64287,0.67759,1.05164,0.93788,0.94308,0.97952,0.87523,0.48982,0.42739,0.90418,0.000631964,0.000631964,0.000631964
20,640.808,0.64721,0.68681,1.05526,0.92926,0.95536,0.9723,0.87288,0.48849,0.44533,0.89174,0.000624351,0.000624351,0.000624351
21,671.314,0.64207,0.67566,1.05512,0.92821,0.93128,0.96901,0.86823,0.48827,0.47905,0.89689,0.000616738,0.000616738,0.000616738
22,702.314,0.6388,0.66836,1.05081,0.95556,0.94014,0.97844,0.87536,0.4758,0.4232,0.88597,0.000609125,0.000609125,0.000609125
23,733.213,0.63745,0.65702,1.05488,0.91416,0.93661,0.96161,0.87324,0.47794,0.49016,0.84593,0.000601512,0.000601512,0.000601512
24,763.77,0.62761,0.6586,1.0484,0.9464,0.9489,0.97682,0.88225,0.48134,0.43191,0.90373,0.000593899,0.000593899,0.000593899
