epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1166.49,0.61091,0.59376,1.03693,0.94206,0.97227,0.97818,0.89419,0.45926,0.33651,0.99321,0.000456863,0.000456863,0.000456863
43,1193.86,0.59503,0.58488,1.03053,0.9234,0.9705,0.98033,0.89905,0.45638,0.37577,0.98914,0.00044925,0.00044925,0.00044925
44,1220.99,0.60195,0.57881,1.03162,0.96614,0.97456,0.98104,0.90758,0.4541,0.3306,0.9915,0.000441637,0.000441637,0.000441637
45,1248.17,0.58942,0.57461,1.02479,0.95209,0.94891,0.97916,0.90111,0.46361,0.33975,0.99878,0.000434024,0.000434024,0.000434024
46,1275.38,0.6025,0.56542,1.03293,0.96429,0.97714,0.99114,0.90563,0.46883,0.31054,0.99219,0.000426411,0.000426411,0.000426411
47,1303.37,0.58616,0.56103,1.02433,0.98446,0.96352,0.98646,0.90198,0.45882,0.31993,0.99451,0.000418797,0.000418797,0.000418797
48,1331.26,0.58923,0.55723,1.02648,0.9593,0.948,0.97387,0.8943,0.44415,0.36501,0.98129,0.000411184,0.000411184,0.000411184
49,1358.59,0.57941,0.55982,1.02317,0.93887,0.9415,0.95938,0.87651,0.49285,0.39374,1.00466,0.000403571,0.000403571,0.000403571
50,1385.46,0.58094,0.54376,1.02501,0.96774,0.97963,0.97596,0.89297,0.47397,0.31699,0.99068,0.000395958,0.000395958,0.000395958
51,1412.36,0.58568,0.55857,1.02694,0.95309,0.96119,0.9821,0.90059,0.44782,0.35079,0.99177,0.000388345,0.000388345,0.000388345
52,1439.22,0.59078,0.5553,1.02424,0.95996,0.97269,0.98388,0.89992,0.45639,0.32671,0.9987,0.000380732,0.000380732,0.000380732
53,1466.25,0.59372,0.55637,1.02943,0.95767,0.97963,0.98399,0.91065,0.43318,0.31789,0.98483,0.000373119,0.000373119,0.000373119
54,1495.33,0.57865,0.54845,1.02122,0.97023,0.95129,0.9815,0.91635,0.43477,0.32967,0.98038,0.000365506,0.000365506,0.000365506
55,1523.59,0.56945,0.52585,1.01765,0.94049,0.97378,0.97174,0.89602,0.44666,0.35669,0.99036,0.000357893,0.000357893,0.000357893
56,1551.1,0.57063,0.53905,1.02013,0.95943,0.96964,0.97546,0.89863,0.42982,0.33304,0.98387,0.00035028,0.00035028,0.00035028
57,1578.54,0.57745,0.53913,1.02505,0.93307,0.95739,0.98057,0.91103,0.42629,0.34076,0.97567,0.000342666,0.000342666,0.000342666
58,1605.91,0.57258,0.52888,1.02268,0.95879,0.96027,0.98004,0.90667,0.42519,0.32806,0.98604,0.000335053,0.000335053,0.000335053
59,1633.22,0.5646,0.51578,1.01227,0.95945,0.94913,0.97614,0.90471,0.45104,0.33428,0.98797,0.00032744,0.00032744,0.00032744
60,1661.49,0.57075,0.50882,1.02064,0.96588,0.97853,0.98831,0.9153,0.43628,0.30912,0.97923,0.000319827,0.000319827,0.000319827
61,1688.74,0.56143,0.50543,1.0161,0.96709,0.95958,0.98317,0.90553,0.43369,0.32331,0.9797,0.000312214,0.000312214,0.000312214
62,1716.11,0.56761,0.51713,1.0196,0.96348,0.93836,0.9776,0.90168,0.4266,0.33006,0.97752,0.000304601,0.000304601,0.000304601
63,1743.63,0.55873,0.52011,1.01733,0.96915,0.96474,0.97413,0.90633,0.42634,0.31705,0.97654,0.000296988,0.000296988,0.000296988
64,1771.21,0.56038,0.51886,1.01472,0.96727,0.96207,0.98554,0.91627,0.43382,0.32411,0.98258,0.000289375,0.000289375,0.000289375
65,1798.88,0.56343,0.51756,1.01858,0.9676,0.96,0.98333,0.90986,0.4367,0.31752,0.9885,0.000281762,0.000281762,0.000281762
66,1827.64,0.55782,0.49496,1.01628,0.95609,0.94646,0.97526,0.8967,0.4535,0.37882,0.98167,0.000274148,0.000274148,0.000274148
67,1856.48,0.54657,0.49794,1.0125,0.9729,0.94947,0.98437,0.9153,0.42819,0.31129,0.97117,0.000266535,0.000266535,0.000266535
68,1884.3,0.54423,0.49913,1.00943,0.96485,0.97963,0.98293,0.90951,0.43226,0.30619,0.98601,0.000258922,0.000258922,0.000258922
69,1912.5,0.54717,0.48043,1.01291,0.95808,0.96676,0.97533,0.89662,0.43318,0.32752,0.98395,0.000251309,0.000251309,0.000251309
70,1940.93,0.54813,0.48333,1.01136,0.97683,0.96983,0.9835,0.90442,0.43011,0.31106,0.9731,0.000243696,0.000243696,0.000243696
71,1970.39,0.54071,0.4812,1.00703,0.97504,0.94048,0.97843,0.9156,0.41203,0.33195,0.96552,0.000236083,0.000236083,0.000236083
72,1998.91,0.547,0.48995,1.01284,0.96463,0.97295,0.97559,0.90823,0.41933,0.31811,0.97965,0.00022847,0.00022847,0.00022847
73,2027.33,0.54202,0.47469,1.00551,0.98088,0.95874,0.97962,0.91982,0.4341,0.31743,0.9748,0.000220857,0.000220857,0.000220857
74,2056.16,0.53664,0.47768,1.00734,0.97111,0.96366,0.99043,0.91561,0.44185,0.30748,0.98188,0.000213244,0.000213244,0.000213244
75,2086.06,0.53642,0.47014,1.00741,0.97369,0.96728,0.98732,0.91893,0.4341,0.29862,0.97163,0.000205631,0.000205631,0.000205631
76,2114.54,0.5373,0.46537,1.00874,0.97546,0.96356,0.98665,0.91643,0.43758,0.30245,0.98558,0.000198018,0.000198018,0.000198018
77,2143.15,0.53545,0.46733,1.00674,0.9861,0.9656,0.98634,0.91765,0.43005,0.28668,0.9787,0.000190404,0.000190404,0.000190404
78,2172.06,0.52311,0.45803,1.0011,0.97652,0.96677,0.99056,0.92488,0.42268,0.28423,0.97017,0.000182791,0.000182791,0.000182791
79,2202.88,0.52889,0.46042,1.00382,0.95353,0.95435,0.99299,0.9212,0.43094,0.3122,0.97837,0.000175178,0.000175178,0.000175178
80,2232.88,0.52566,0.46417,1.00495,0.94916,0.97092,0.99243,0.92163,0.42228,0.29393,0.9753,0.000167565,0.000167565,0.000167565
81,2261.84,0.52169,0.45194,1.00187,0.96615,0.93604,0.98724,0.91636,0.43357,0.32722,0.98802,0.000159952,0.000159952,0.000159952
82,2292.09,0.52236,0.45005,0.99905,0.95456,0.94783,0.98963,0.91757,0.42711,0.32126,0.97961,0.000152339,0.000152339,0.000152339
83,2321.16,0.52462,0.45605,1.00113,0.97434,0.96534,0.98996,0.91346,0.42715,0.29172,0.97809,0.000144726,0.000144726,0.000144726
84,2349.12,0.51296,0.43674,0.99506,0.96666,0.96034,0.98702,0.91707,0.40888,0.28679,0.97501,0.000137113,0.000137113,0.000137113
85,2376.93,0.51557,0.44448,0.99688,0.96945,0.96118,0.97976,0.91082,0.409,0.30397,0.974,0.0001295,0.0001295,0.0001295
86,2404.97,0.51496,0.43924,0.99558,0.96564,0.96197,0.98311,0.91683,0.40718,0.29504,0.97504,0.000121887,0.000121887,0.000121887
87,2433.99,0.50555,0.43181,0.99184,0.97599,0.97809,0.97842,0.91288,0.41128,0.29391,0.97267,0.000114273,0.000114273,0.000114273
88,2462.04,0.50712,0.43241,0.9957,0.96474,0.97172,0.98614,0.92358,0.40256,0.28396,0.96649,0.00010666,0.00010666,0.00010666
89,2490.26,0.51212,0.44413,1.002,0.95364,0.97963,0.98306,0.91819,0.40972,0.29284,0.9659,9.90472e-05,9.90472e-05,9.90472e-05
90,2518.3,0.50751,0.43087,0.99613,0.95935,0.97237,0.98809,0.91906,0.41289,0.28054,0.96738,9.14341e-05,9.14341e-05,9.14341e-05
91,2547.21,0.34906,0.22477,0.9138,0.95255,0.9542,0.98136,0.91049,0.40935,0.3069,0.96816,8.3821e-05,8.3821e-05,8.3821e-05
92,2575.92,0.33819,0.20967,0.90732,0.96644,0.95715,0.98863,0.91934,0.39957,0.27881,0.96806,7.62079e-05,7.62079e-05,7.62079e-05
93,2602.9,0.33884,0.20463,0.91001,0.95506,0.97957,0.98896,0.92104,0.407,0.28208,0.96537,6.85948e-05,6.85948e-05,6.85948e-05
94,2629.85,0.32963,0.20523,0.90775,0.95951,0.97963,0.99015,0.92244,0.40434,0.28102,0.96323,6.09817e-05,6.09817e-05,6.09817e-05
95,2656.93,0.32752,0.19834,0.90043,0.96516,0.97963,0.98875,0.92372,0.40067,0.26701,0.96509,5.33686e-05,5.33686e-05,5.33686e-05
96,2683.81,0.32062,0.19383,0.89395,0.96281,0.97963,0.98784,0.92709,0.39695,0.27218,0.96261,4.57555e-05,4.57555e-05,4.57555e-05
97,2711.04,0.31859,0.19272,0.89964,0.95795,0.97316,0.98929,0.92144,0.39853,0.26939,0.96455,3.81424e-05,3.81424e-05,3.81424e-05
98,2738.51,0.31971,0.19247,0.90159,0.95815,0.97101,0.98637,0.9235,0.38979,0.26924,0.96296,3.05293e-05,3.05293e-05,3.05293e-05
99,2766.37,0.31649,0.18967,0.89392,0.95822,0.97097,0.98657,0.92183,0.39161,0.2792,0.96659,2.29162e-05,2.29162e-05,2.29162e-05
100,2793.54,0.31896,0.18755,0.89585,0.95625,0.97065,0.98978,0.92342,0.39527,0.28425,0.96686,1.53031e-05,1.53031e-05,1.53031e-05
