epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2308.69,0.60145,0.57899,1.03926,0.9525,0.95962,0.96721,0.88216,0.44023,0.33583,0.97686,0.000456863,0.000456863,0.000456863
43,2364.91,0.59868,0.55304,1.03652,0.94298,0.97078,0.96792,0.87354,0.44165,0.34257,0.97579,0.00044925,0.00044925,0.00044925
44,2421.89,0.59442,0.55283,1.03866,0.95975,0.96134,0.96895,0.8732,0.44927,0.3595,0.9692,0.000441637,0.000441637,0.000441637
45,2479.34,0.59704,0.55711,1.03792,0.9235,0.94281,0.96733,0.88202,0.43898,0.3532,0.955,0.000434024,0.000434024,0.000434024
46,2535.99,0.59588,0.55009,1.03796,0.94283,0.96645,0.97475,0.88616,0.43768,0.31748,0.97543,0.000426411,0.000426411,0.000426411
47,2593.03,0.59432,0.53945,1.03256,0.91801,0.96698,0.97919,0.89484,0.43778,0.33253,0.96813,0.000418797,0.000418797,0.000418797
48,2647.84,0.58041,0.53556,1.02945,0.94738,0.9532,0.97658,0.8882,0.44483,0.31263,0.97489,0.000411184,0.000411184,0.000411184
49,2703.1,0.57862,0.52872,1.03005,0.93772,0.96736,0.97525,0.89254,0.43904,0.31754,0.96895,0.000403571,0.000403571,0.000403571
50,2757.17,0.58155,0.53342,1.03248,0.94489,0.96286,0.97538,0.89617,0.4248,0.32628,0.96417,0.000395958,0.000395958,0.000395958
51,2810.78,0.57551,0.53306,1.02727,0.95771,0.97156,0.97502,0.90132,0.41974,0.29541,0.95893,0.000388345,0.000388345,0.000388345
52,2865.4,0.57591,0.50979,1.02629,0.9604,0.96061,0.9713,0.8974,0.42238,0.32101,0.96961,0.000380732,0.000380732,0.000380732
53,2919.58,0.57908,0.53194,1.03105,0.96803,0.96109,0.97878,0.90373,0.43479,0.32349,0.99134,0.000373119,0.000373119,0.000373119
54,2974.45,0.56864,0.51367,1.02282,0.96717,0.96655,0.98072,0.90436,0.42804,0.29612,0.96272,0.000365506,0.000365506,0.000365506
55,3028.58,0.56775,0.51682,1.02115,0.94019,0.97185,0.97536,0.89039,0.42828,0.34312,0.96932,0.000357893,0.000357893,0.000357893
56,3082.09,0.56432,0.50693,1.02472,0.94348,0.9839,0.97246,0.88867,0.44752,0.33658,0.9754,0.00035028,0.00035028,0.00035028
57,3137.13,0.56553,0.52191,1.02652,0.95986,0.96214,0.98078,0.90472,0.42969,0.30153,0.97832,0.000342666,0.000342666,0.000342666
58,3192.48,0.57004,0.51169,1.02568,0.95123,0.94529,0.97027,0.87716,0.43971,0.35087,0.97722,0.000335053,0.000335053,0.000335053
59,3247.39,0.57144,0.50705,1.02464,0.95313,0.9745,0.97665,0.89603,0.42896,0.29889,0.9768,0.00032744,0.00032744,0.00032744
60,3304.93,0.56258,0.50702,1.02437,0.95605,0.96581,0.98283,0.89892,0.43523,0.28267,0.97817,0.000319827,0.000319827,0.000319827
61,3361.67,0.55371,0.48845,1.02145,0.97368,0.97707,0.97975,0.89117,0.44277,0.29127,0.98224,0.000312214,0.000312214,0.000312214
62,3418.39,0.56347,0.50492,1.02347,0.97355,0.9741,0.98128,0.90108,0.43652,0.29735,0.97043,0.000304601,0.000304601,0.000304601
63,3472.71,0.5586,0.50649,1.02382,0.98263,0.96386,0.9778,0.89696,0.43615,0.29813,0.96487,0.000296988,0.000296988,0.000296988
64,3528.32,0.55583,0.4818,1.01747,0.95993,0.98012,0.97474,0.89525,0.42901,0.29294,0.97879,0.000289375,0.000289375,0.000289375
65,3584.06,0.55849,0.4888,1.02136,0.9502,0.97271,0.97863,0.89677,0.43329,0.32049,0.96842,0.000281762,0.000281762,0.000281762
66,3639.65,0.55968,0.48034,1.01811,0.93637,0.95528,0.97199,0.89306,0.42876,0.33773,0.9671,0.000274148,0.000274148,0.000274148
67,3694.12,0.54483,0.47279,1.01564,0.93936,0.9464,0.96358,0.88428,0.43106,0.38389,0.97378,0.000266535,0.000266535,0.000266535
68,3749.72,0.55033,0.47742,1.01816,0.96836,0.94028,0.97854,0.89333,0.44424,0.3118,0.97881,0.000258922,0.000258922,0.000258922
69,3805.62,0.56026,0.48352,1.01932,0.94507,0.97076,0.98343,0.90773,0.43154,0.27892,0.9684,0.000251309,0.000251309,0.000251309
70,3863.14,0.54737,0.46975,1.02228,0.96462,0.96131,0.97955,0.90196,0.42707,0.29791,0.96539,0.000243696,0.000243696,0.000243696
71,3918.68,0.53792,0.45997,1.01361,0.95165,0.9593,0.97903,0.90413,0.41376,0.28693,0.96099,0.000236083,0.000236083,0.000236083
72,3975.09,0.54008,0.46927,1.01441,0.95727,0.9647,0.98006,0.90872,0.4171,0.30804,0.9549,0.00022847,0.00022847,0.00022847
73,4031.07,0.53852,0.46322,1.0106,0.94479,0.96416,0.97994,0.90146,0.4202,0.29904,0.9582,0.000220857,0.000220857,0.000220857
74,4088.58,0.54222,0.46904,1.01234,0.96113,0.9507,0.97999,0.90133,0.40934,0.27428,0.95093,0.000213244,0.000213244,0.000213244
75,4143.05,0.53382,0.45071,1.01271,0.96759,0.95226,0.97692,0.89451,0.43372,0.2906,0.96879,0.000205631,0.000205631,0.000205631
76,4200.5,0.53202,0.46134,1.0097,0.95204,0.94661,0.97308,0.88514,0.45039,0.33544,0.97262,0.000198018,0.000198018,0.000198018
77,4257.26,0.53376,0.44156,1.00874,0.94267,0.96297,0.97883,0.89571,0.44636,0.30043,0.97598,0.000190404,0.000190404,0.000190404
78,4314.48,0.52289,0.42804,1.00199,0.96018,0.94322,0.97868,0.90039,0.43582,0.28721,0.96829,0.000182791,0.000182791,0.000182791
79,4370.95,0.52323,0.43616,1.00869,0.97376,0.95601,0.98172,0.90348,0.42392,0.27737,0.96149,0.000175178,0.000175178,0.000175178
80,4428.32,0.51948,0.43764,1.00297,0.95669,0.955,0.97676,0.90586,0.42523,0.2885,0.96112,0.000167565,0.000167565,0.000167565
81,4484.44,0.52432,0.43315,1.00296,0.95743,0.94243,0.97695,0.90093,0.42284,0.29753,0.96416,0.000159952,0.000159952,0.000159952
82,4540.27,0.51481,0.43313,1.00308,0.94776,0.95115,0.97651,0.90025,0.41715,0.29331,0.96501,0.000152339,0.000152339,0.000152339
83,4597.17,0.51379,0.41917,1.00205,0.9574,0.94773,0.97472,0.89532,0.41919,0.30522,0.96706,0.000144726,0.000144726,0.000144726
84,4654.21,0.50441,0.41487,0.99711,0.95771,0.93553,0.97461,0.90093,0.4174,0.30508,0.96186,0.000137113,0.000137113,0.000137113
85,4711.39,0.50777,0.41452,1.00014,0.96984,0.93744,0.97821,0.90359,0.41777,0.29943,0.96284,0.0001295,0.0001295,0.0001295
86,4768.34,0.51048,0.416,1.00085,0.96579,0.93685,0.97828,0.90262,0.42339,0.30539,0.96562,0.000121887,0.000121887,0.000121887
87,4825.18,0.50893,0.41557,0.99944,0.95993,0.94648,0.97572,0.89752,0.43038,0.31058,0.96447,0.000114273,0.000114273,0.000114273
88,4879.72,0.50597,0.41184,1.00242,0.95392,0.93612,0.97497,0.89952,0.42348,0.31925,0.96144,0.00010666,0.00010666,0.00010666
89,4936.1,0.50793,0.41731,1.00333,0.96278,0.94158,0.97741,0.90306,0.42756,0.29608,0.96872,9.90472e-05,9.90472e-05,9.90472e-05
